"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-HQQ7NB0",,,,"User:","root"
"Cmdline:","dstat -t --freespace -m -c -Ctotal,0,1,2,3 --output /mnt/c/Users/seri1/Documents/jupyter/dstat/dstat.csv",,,,"Date:","09 May 2020 17:13:50 JST"
"system","/",,"/init",,"/unified",,"/c",,"memory usage",,,,"total cpu usage",,,,,"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,
"time","/:used","/:free","/init:used","/init:free","/unified:used","/unified:free","/c:used","/c:free","used","free","buff","cach","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl"
09-05 17:13:50,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72712192,6146830336,11476992,300752896,0.025,0.086,99.885,0.004,0,0.016,0.036,99.934,0.014,0,0.032,0.016,99.951,0.001,0,0.032,0.015,99.952,0.001,0,0.020,0.277,99.702,0.001,0,
09-05 17:13:51,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72597504,6146945024,11476992,300752896,0.248,0.496,99.256,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,1.961,98.039,0,0,
09-05 17:13:52,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72597504,6146945024,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,0,0,100,0,0,
09-05 17:13:53,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72597504,6146945024,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,1,99,0,0,
09-05 17:13:54,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72597504,6146945024,11476992,300752896,0.250,0.250,99.500,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,1,0,99,0,0,
09-05 17:13:55,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72597504,6146945024,11476992,300752896,0,0.251,99.749,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,
09-05 17:13:56,15552081920,253938311168,131204079616,123517046784,0,0,131204079616,123517046784,72597504,6146945024,11476992,300752896,0.248,0,99.752,0,0,0.990,0,99.010,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:13:57,15552081920,253938311168,131116462080,123604664320,0,0,131116462080,123604664320,72597504,6146945024,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:13:58,15552081920,253938311168,131116457984,123604668416,0,0,131116457984,123604668416,72597504,6146945024,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:13:59,15552081920,253938311168,131116457984,123604668416,0,0,131116457984,123604668416,72597504,6146945024,11476992,300752896,0,0.249,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:14:00,15552081920,253938311168,131118981120,123602145280,0,0,131118981120,123602145280,72597504,6146945024,11476992,300752896,0,0.248,99.752,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:14:01,15552081920,253938311168,131119046656,123602079744,0,0,131119046656,123602079744,72597504,6146945024,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:02,15552081920,253938311168,131120025600,123601100800,0,0,131120025600,123601100800,72597504,6146945024,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:14:03,15552081920,253938311168,131119763456,123601362944,0,0,131119763456,123601362944,72597504,6146945024,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:04,15552081920,253938311168,131119763456,123601362944,0,0,131119763456,123601362944,72597504,6146945024,11476992,300752896,0,0.256,99.744,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.010,98.990,0,0,
09-05 17:14:05,15552081920,253938311168,131119783936,123601342464,0,0,131119783936,123601342464,72597504,6146945024,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:14:06,15552081920,253938311168,131119783936,123601342464,0,0,131119783936,123601342464,72597504,6146945024,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
